Invoice Number,Date,Customer,Contract,Description,Point,Quantity,Rate
"AEFS-3502","05/01/17","Anadarko Energy Services Company","AEFS00742S","Storage Injection","CTGS_Transco","450","0.01500000"
"AEFS-3502","05/01/17","Anadarko Energy Services Company","AEFS00742S","Storage Injection","Texas_Eastern","19700","0.01500000"
"AEFS-3502","05/01/17","Anadarko Energy Services Company","AEFS00742S","Storage Injection","CTGS_Transco","4925","0.01500000"
"AEFS-3502","05/01/17","Anadarko Energy Services Company","AEFS00742S","Storage Injection","Tennessee_Mainline","4925","0.01500000"
"AEFS-3502","05/02/17","Anadarko Energy Services Company","AEFS00742S","Storage Injection","TP HUb","0","0.01500000"
"AEFS-3502","05/02/17","Anadarko Energy Services Company","AEFS00742S","Storage Injection","CTGS_Transco","0","0.01500000"
"AEFS-3502","05/02/17","Anadarko Energy Services Company","AEFS00742S","Storage Injection","CTGS_Transco","0","0.01500000"
"AEFS-3502","05/02/17","Anadarko Energy Services Company","AEFS00742S","Storage Injection","Tennessee_Mainline","0","0.01500000"
"AEFS-3502","05/03/17","Anadarko Energy Services Company","AEFS00742S","Storage Injection","TP HUb","0","0.01500000"
"AEFS-3502","05/03/17","Anadarko Energy Services Company","AEFS00742S","Storage Injection","CTGS_Transco","0","0.01500000"
"AEFS-3502","05/03/17","Anadarko Energy Services Company","AEFS00742S","Storage Injection","CTGS_Transco","0","0.01500000"
"AEFS-3502","05/03/17","Anadarko Energy Services Company","AEFS00742S","Storage Injection","Tennessee_Mainline","0","0.01500000"
"AEFS-3502","05/04/17","Anadarko Energy Services Company","AEFS00742S","Storage Injection","TP HUb","19700","0.01500000"
"AEFS-3502","05/04/17","Anadarko Energy Services Company","AEFS00742S","Storage Injection","CTGS_Transco","450","0.01500000"
"AEFS-3502","05/04/17","Anadarko Energy Services Company","AEFS00742S","Storage Injection","CTGS_Transco","0","0.01500000"
"AEFS-3502","05/04/17","Anadarko Energy Services Company","AEFS00742S","Storage Injection","Tennessee_Mainline","0","0.01500000"
"AEFS-3502","05/04/17","Anadarko Energy Services Company","AEFS00742S","Storage Injection","Texas_Eastern","0","0.01500000"
"AEFS-3502","05/04/17","Anadarko Energy Services Company","AEFS00742S","Storage Injection","Tennessee_Mainline","0","0.01500000"
"AEFS-3502","05/04/17","Anadarko Energy Services Company","AEFS00742S","Storage Injection","CTGS_Transco","4925","0.01500000"
"AEFS-3502","05/04/17","Anadarko Energy Services Company","AEFS00742S","Storage Injection","Transco_Mainline","3349","0.01500000"
"AEFS-3502","05/04/17","Anadarko Energy Services Company","AEFS00742S","Storage Injection","Transco_Mainline","1576","0.01500000"
"AEFS-3502","05/05/17","Anadarko Energy Services Company","AEFS00742S","Storage Injection","TP HUb","0","0.01500000"
